LOCATION,SUBJECT,TIME,NIVEAU_ECRIT
EST,GIRL,2006,524.0
EST,GIRL,2009,524.0
EST,GIRL,2012,537.833
EST,GIRL,2015,533.0
EST,GIRL,2018,538.0
IDN,BOY,2000,360.0
IDN,BOY,2003,369.0
IDN,BOY,2006,384.0
IDN,BOY,2009,383.0
IDN,BOY,2012,382.254
IDN,BOY,2015,386.0
IDN,BOY,2018,358.0
IDN,GIRL,2000,380.0
IDN,GIRL,2003,394.0
IDN,GIRL,2006,402.0
IDN,GIRL,2009,420.0
IDN,GIRL,2012,410.408
IDN,GIRL,2015,409.0
IDN,GIRL,2018,383.0
ISR,BOY,2000,444.0
ISR,BOY,2006,417.0
ISR,BOY,2009,452.0
ISR,BOY,2012,463.46
ISR,BOY,2015,467.0
ISR,BOY,2018,445.0
ISR,GIRL,2000,459.0
ISR,GIRL,2006,460.0
ISR,GIRL,2009,495.0
ISR,GIRL,2012,507.451
ISR,GIRL,2015,490.0
ISR,GIRL,2018,493.0
RUS,BOY,2000,443.0
RUS,BOY,2003,428.0
RUS,BOY,2009,437.0
RUS,BOY,2012,455.147
RUS,BOY,2015,481.0
RUS,BOY,2018,466.0
RUS,GIRL,2000,481.0
RUS,GIRL,2003,456.0
RUS,GIRL,2009,482.0
RUS,GIRL,2012,495.144
RUS,GIRL,2015,507.0
RUS,GIRL,2018,491.0
SVN,BOY,2006,467.0
SVN,BOY,2009,456.0
SVN,BOY,2012,454.466
SVN,BOY,2015,484.0
SVN,BOY,2018,475.0
SVN,GIRL,2006,521.0
SVN,GIRL,2009,511.0
SVN,GIRL,2012,510.15
SVN,GIRL,2015,528.0
SVN,GIRL,2018,517.0
LVA,BOY,2015,467.0
LVA,BOY,2018,462.0
LVA,GIRL,2015,509.0
LVA,GIRL,2018,495.0
AUS,TOT,2000,528.0
AUS,TOT,2003,525.0
AUS,TOT,2006,513.0
AUS,TOT,2009,515.0
AUS,TOT,2012,512.0
AUS,TOT,2015,503.0
AUS,TOT,2018,503.0
AUT,TOT,2000,492.0
AUT,TOT,2003,491.0
AUT,TOT,2006,490.0
AUT,TOT,2012,490.0
AUT,TOT,2015,485.0
AUT,TOT,2018,484.0
BEL,TOT,2000,507.0
BEL,TOT,2003,507.0
BEL,TOT,2006,501.0
BEL,TOT,2009,506.0
BEL,TOT,2012,509.0
BEL,TOT,2015,499.0
BEL,TOT,2018,493.0
CAN,TOT,2000,534.0
CAN,TOT,2003,528.0
CAN,TOT,2006,527.0
CAN,TOT,2009,524.0
CAN,TOT,2012,523.0
CAN,TOT,2015,527.0
CAN,TOT,2018,520.0
CZE,TOT,2000,492.0
CZE,TOT,2003,489.0
CZE,TOT,2006,483.0
CZE,TOT,2009,478.0
CZE,TOT,2012,493.0
CZE,TOT,2015,487.0
CZE,TOT,2018,490.0
DNK,TOT,2000,497.0
DNK,TOT,2003,492.0
DNK,TOT,2006,494.0
DNK,TOT,2009,495.0
DNK,TOT,2012,496.0
DNK,TOT,2015,500.0
DNK,TOT,2018,501.0
FIN,TOT,2000,546.0
FIN,TOT,2003,543.0
FIN,TOT,2006,547.0
FIN,TOT,2009,536.0
FIN,TOT,2012,524.0
FIN,TOT,2015,526.0
FIN,TOT,2018,520.0
FRA,TOT,2000,505.0
FRA,TOT,2003,496.0
FRA,TOT,2006,488.0
FRA,TOT,2009,496.0
FRA,TOT,2012,505.0
FRA,TOT,2015,499.0
FRA,TOT,2018,493.0
DEU,TOT,2000,484.0
DEU,TOT,2003,491.0
DEU,TOT,2006,495.0
DEU,TOT,2009,497.0
DEU,TOT,2012,508.0
DEU,TOT,2015,509.0
DEU,TOT,2018,498.0
GRC,TOT,2000,474.0
GRC,TOT,2003,472.0
GRC,TOT,2006,460.0
GRC,TOT,2009,483.0
GRC,TOT,2012,477.0
GRC,TOT,2015,467.0
GRC,TOT,2018,457.0
HUN,TOT,2000,480.0
HUN,TOT,2003,482.0
HUN,TOT,2006,482.0
HUN,TOT,2009,494.0
HUN,TOT,2012,488.0
HUN,TOT,2015,470.0
HUN,TOT,2018,476.0
ISL,TOT,2000,507.0
ISL,TOT,2003,492.0
ISL,TOT,2006,484.0
ISL,TOT,2009,500.0
ISL,TOT,2012,483.0
ISL,TOT,2015,482.0
ISL,TOT,2018,474.0
IRL,TOT,2000,527.0
IRL,TOT,2003,515.0
IRL,TOT,2006,517.0
IRL,TOT,2009,496.0
IRL,TOT,2012,523.0
IRL,TOT,2015,521.0
IRL,TOT,2018,518.0
ITA,TOT,2000,487.0
ITA,TOT,2003,476.0
ITA,TOT,2006,469.0
ITA,TOT,2009,486.0
ITA,TOT,2012,490.0
ITA,TOT,2015,485.0
ITA,TOT,2018,476.0
JPN,TOT,2000,522.0
JPN,TOT,2003,498.0
JPN,TOT,2006,498.0
JPN,TOT,2009,520.0
JPN,TOT,2012,538.0
JPN,TOT,2015,516.0
JPN,TOT,2018,504.0
KOR,TOT,2000,525.0
KOR,TOT,2003,534.0
KOR,TOT,2006,556.0
KOR,TOT,2009,539.0
KOR,TOT,2012,536.0
KOR,TOT,2015,517.0
KOR,TOT,2018,514.0
LUX,TOT,2003,479.0
LUX,TOT,2006,479.0
LUX,TOT,2009,472.0
LUX,TOT,2012,488.0
LUX,TOT,2015,481.0
LUX,TOT,2018,470.0
MEX,TOT,2000,422.0
MEX,TOT,2003,400.0
MEX,TOT,2006,410.0
MEX,TOT,2009,425.0
MEX,TOT,2012,424.0
MEX,TOT,2015,423.0
MEX,TOT,2018,420.0
NLD,TOT,2003,513.0
NLD,TOT,2006,507.0
NLD,TOT,2009,508.0
NLD,TOT,2012,511.0
NLD,TOT,2015,503.0
NLD,TOT,2018,485.0
NZL,TOT,2000,529.0
NZL,TOT,2003,522.0
NZL,TOT,2006,521.0
NZL,TOT,2009,521.0
NZL,TOT,2012,512.0
NZL,TOT,2015,509.0
NZL,TOT,2018,506.0
NOR,TOT,2000,505.0
NOR,TOT,2003,500.0
NOR,TOT,2006,484.0
NOR,TOT,2009,503.0
NOR,TOT,2012,504.0
NOR,TOT,2015,513.0
